disease_name,primary_dosha,secondary_dosha,body_attributes_imbalance,tissues_affected,main_healing_herb,herb_preparation,herb_vehicle,herb_action,diet_to_favor,diet_to_avoid,lifestyle_modification,recommended_yoga_pose,recommended_breathing_exercise,meditation_focus
zenker diverticulum,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
galactorrhea of unknown cause,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the nose,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
chronic kidney disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
hypercalcemia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
testicular cancer,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
vesicoureteral reflux,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
leukemia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
trichinosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the arm,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
optic neuritis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
aspergillosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
decubitus ulcer,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
reactive arthritis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
poisoning due to antipsychotics,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
epidural hemorrhage,Pitta,Rakta,Raktapitta,Rakta Dhatu,Vasa,Swarasa,Honey,Raktastambhana,"Cooling, bland",Spices,Absolute rest,Shavasana,Sheetali,Vessel integrity
avascular necrosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
granuloma inguinale,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
hemarthrosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the back,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
insulin overdose,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
cushing syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
vacterl syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
hammer toe,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
tricuspid valve disease,Vata,Pitta,Hridroga,Hridaya,Arjuna,Ksheerpaka,Milk,Hridya,Heart healthy,Caffeine/Salt,Cardiac rehab,Shavasana,Bhramari,Cardiac rhythm
valley fever,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
placenta previa,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
aphakia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
acute fatty liver of pregnancy (aflp),Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
thyroid cancer,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
premature rupture of amniotic membrane,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
lichen planus,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
poisoning due to opioids,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
fracture of the finger,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
hypercholesterolemia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
spinocerebellar ataxia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
injury to the finger,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
fetal alcohol syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
pemphigus,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound from surgical incision,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
omphalitis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
hypertrophic obstructive cardiomyopathy (hocm),Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
priapism,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
tuberous sclerosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
empyema,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
pinguecula,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
breast cancer,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
blepharospasm,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
edward syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
wernicke korsakoff syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
dislocation of the hip,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
vulvar cancer,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
g6pd enzyme deficiency,Vata,Pitta,Dhatukshaya,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,Mineral/Vitamin rich,Junk food,Supplementation,Tadasana,Anulom Vilom,Nutrient absorption
cryptorchidism,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
von willebrand disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
vitamin a deficiency,Vata,Pitta,Dhatukshaya,Rasa Dhatu,Amalaki,Rasayana,Water,Balya,Mineral/Vitamin rich,Junk food,Supplementation,Tadasana,Anulom Vilom,Nutrient absorption
uterine cancer,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
hyperosmotic hyperketotic state,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
pelvic fistula,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
spherocytosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
histoplasmosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
friedrich ataxia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
amyloidosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
oral leukoplakia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
scurvy,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
syndrome of inappropriate secretion of adh (siadh),Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
open wound of the shoulder,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
intussusception,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
meckel diverticulum,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the finger,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
dumping syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
open wound of the hand,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
dengue fever,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
obesity,Kapha,None,Sthaulya,Meda Dhatu,Guggulu,Vati,Warm water,Lekhana,"Low fat, high fiber",Sugar/Fats,Daily exercise,Surya Namaskar,Bhastrika,Metabolic health
dislocation of the patella,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
myelodysplastic syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
adrenal cancer,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
esophageal varices,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the abdomen,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
hemochromatosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
cat scratch disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
dislocation of the knee,Vata,None,Asthibhanga,Asthi Dhatu,Laksha,Guggulu,Milk,Sandhanaka,Calcium rich,Physical strain,Immobilization,Shavasana,Anulom Vilom,Structural union
primary thrombocythemia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
lymphangitis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
sporotrichosis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
connective tissue disorder,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
open wound of the face,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
hyperlipidemia,Kapha,None,Meda-vriddhi,Rasa Dhatu,Garlic,Vati/Raw,Honey,Lekhana,"Oatmeal, Fiber",Fried food,Brisk walking,Tadasana,Kapalbhati,Lipid balance
necrotizing fasciitis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
hashimoto thyroiditis,Kapha,Vata,Agni-mandya,Rasa Dhatu,Kanchanar Guggulu,Vati,Warm water,Lekhana,Anti-inflammatory,Gluten/Soy,Regular exercise,Sarvangasana,Ujjayi,Thyroid balance
diabetic kidney disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
carcinoid syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
human immunodeficiency virus infection (hiv),Sannipata,None,Ojo-kshaya,Sarvadeha,Guduchi,Arishta,Water,Rasayana/Ojobardhaka,Nutrient dense,Unhygienic food,Stress reduction,Shavasana,Anulom Vilom,Immune support
rheumatic fever,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the jaw,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
turner syndrome,Vata,Pitta,Dhatukshaya,Sarvadeha,Ashwagandha,Leha,Milk,Rasayana,Balanced food,Stress,Routine,Shavasana,Anulom Vilom,Systemic balance
diabetes,Kapha,Vata,Prameha,Meda Dhatu,Nisha-Amalaki,Churna,Water,Pramehagna,"Low GI, Bitter food",Sweets,Regular walking,Paschimottanasana,Anulom Vilom,Glycemic control
open wound of the chest,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
huntington disease,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
hypergammaglobulinemia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
typhoid fever,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the cheek,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
open wound of the knee,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
open wound due to trauma,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
chronic ulcer,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
myocarditis,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
heat stroke,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
high blood pressure,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
thalassemia,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
gas gangrene,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
open wound of the head,Vata,Pitta,Abhighata,Mamsa Dhatu,Haridra,Lep,Warm Milk or Sesame oil,Ropana,Protein rich,Hard work,Rest affected part,Shavasana,Anulom Vilom,Tissue healing
foreign body in the nose,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
kaposi sarcoma,Sannipata,None,Arbudha,Mamsa Dhatu,Guduchi,Arishta,Water,Rasayana,Antioxidant rich,Toxins/Sugar,Holistic care,Shavasana,Anulom Vilom,Cellular balance
rocky mountain spotted fever,Vata,None,Dhatukshaya,Sarvadeha,Ashwagandha,Churna,Warm water,Rasayana,Nutritious diet,Fast food,Regular routine,Shavasana,Anulom Vilom,Vitality focus
